trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
0.000880667,0.000653208,0.000596208,0.000683458,0.000656458,0.001082125,0.000479833
0.000893125,0.0004655,0.000471833,0.000534708,0.00066025,0.0006905,0.000491583
0.001019917,0.000509542,0.000570042,0.000688083,0.002034,0.000972083,0.000533916
0.001218041,0.000471208,0.000641125,0.000785375,0.001012666,0.001424625,0.000463084
0.001973709,0.000680333,0.000750917,0.001162,0.001368625,0.001807917,0.000441875
0.003919291,0.000573291,0.001251041,0.002079083,0.002281292,0.003277584,0.000568708
0.007815958,0.000798083,0.001620167,0.002803458,0.00452025,0.006593958,0.000697334
0.026101417,0.001525083,0.003353666,0.013112958,0.009177959,0.013124375,0.000936959
0.046909959,0.0022995,0.006434375,0.010653625,0.027347667,0.027087625,0.0012895
0.091437875,0.003566,0.012759625,0.021853208,0.045492708,0.064723125,0.002243709
0.196305625,0.006764708,0.027492084,0.066635041,0.085061041,0.130408916,0.004345334
0.400514291,0.022528625,0.075759834,0.120891208,0.184700833,0.260251667,0.017105792
0.824384958,0.062820625,0.151849,0.2511495,0.382211167,0.545688792,0.023244292
1.684242167,0.1140075,0.33275225,0.491420875,0.778623583,1.114009584,0.053020208
3.486186834,0.24724975,0.670667416,1.039074208,1.64503825,2.305822875,0.112566834
7.480358166,0.48169775,1.367217208,2.1459555,3.34786825,4.919074042,0.20309825
14.049351209,1.033586292,2.931221833,4.725810208,7.207891541,10.045872417,0.381160833
32.499238041,2.392058084,6.239041208,9.603856375,14.267530875,20.344285834,0.788204708
66.561594541,4.290377041,12.8517535,19.625820667,29.305043,41.306848083,1.592954916
137.701595208,8.443297875,25.16356225,38.458523791,59.467959,84.322797583,3.261758166
