pfplus BF,trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
8.686580006695016e-6,0.0,2.350217306492884e-27,1.6496534082193764e-43,1.6988895871453033e-59,2.4829373713259765e-75,8.087888989882957e-92,1.1067719617017303e-11
1.911047601472904e-9,0.0,1.4236182931397816e-23,1.6792607198594378e-39,7.257424987358828e-56,1.5982874934820559e-71,4.1786116978739157e-88,5.239403138560019e-8
4.559071091579877e-13,0.0,5.947329037621946e-20,8.983866805710672e-36,3.61657425565422e-52,8.896152221336949e-68,2.3487556924553508e-84,0.0010166646685049459
6.313812086273182e-16,0.0,1.1519779740596606e-16,9.97232088003835e-33,3.9537404987723385e-49,5.388787274729463e-65,4.0431836948151113e-81,1.564086923076923
6.3138120862731805e-21,0.0,1.4865624276279682e-11,1.663289571111413e-27,7.844621997972453e-44,3.9419628735357437e-60,4.661795458888148e-76,NaN
5.682430877645861e-24,0.0,2.3088777371395242e-8,1.6417384944589048e-24,1.004097464068792e-40,8.456247604855293e-57,5.411515387335297e-73,NaN
2.8127917775121735e-28,0.0,0.002870050065947266,8.843318422394826e-20,8.829732357401257e-36,1.9832425376774888e-52,1.7601297673540151e-68,4.416523006833713
2.7846638597370523e-35,0.0,3.2733739316239316,2.525138190982418e-12,6.39088794076889e-29,5.128751288520622e-45,2.681463915938211e-61,2.1714525637876565
1.5037184842580083e-39,0.0,2.5837812020905924,1.80381435419381e-7,9.896343070517272e-24,2.4817131039181086e-40,1.7524876531000944e-56,4.968157142857143
4.215863024072464e-42,0.0,2.8230221070811745,0.00016256925171576,2.353475169140519e-21,1.7346549496174032e-37,6.253017316308026e-54,4.607610670840787
3.487730495327661e-42,0.0,6.142081759866681,0.0005903986152391631,2.4696170028094285e-20,6.090205427233659e-37,3.230952601175533e-53,1.5907093925371665
2.4414113467293625e-46,0.0,19.512194871794872,3.0909008165445666,3.3349321444586183e-16,1.695997420239498e-32,9.697613359371792e-49,4.593041255411255
9.887676403390102e-51,0.0,4.75709311660745,2.3580923807926832,5.6999566625140596e-11,3.9548837660240806e-27,9.29418964428667e-44,2.625859493006993
1.8721347058253724e-51,0.0,5.974288270158091,8.645530319148936,6.380707596763208e-10,2.1783933203178298e-26,1.5282209049625713e-42,2.2769186298076924
2.0593481764079097e-56,0.0,3.829036187333089,3.449484271978022,0.00012091134984916545,7.367152198333829e-21,2.720045348368892e-37,2.0950394252672155
1.5456429243218338e-59,0.0,8.916088574660634,2.05681961018711,0.6547366520082087,2.84708928919881e-17,7.923258412372442e-34,1.653116480406386
1.2519707687006852e-62,0.0,7.666595441595441,22.103640909249872,10.852703100961538,1.0930180292033442e-13,3.0341237301167952e-30,2.7336724082167834
4.4723981407792016e-66,0.0,13.42382488556756,10.197145058642553,2.0847969996113744,6.692958626254166e-10,2.8886337485814745e-26,3.0886613044290248
3.3362599793067267e-66,0.0,2.1729299164027545,5.138083172098578,3.13996741840566,3.8567878059622264e-9,1.0247625333655283e-25,2.414948074777524
1.501316990688027e-71,0.0,2.767062826278883,7.23991534775374,25.756329061446653,0.0018887386616551522,6.041370812195083e-20,2.1794835457705477
