method,m_max,eps,pfplus,dt,error,error+1
trick thread,3,2.220446049250313e-16,2.0807565202237192e-14,0.000974375,0.0031325596675506715,1.002565211081556
trick MF2 thread,8,4.930380657631324e-32,1.0305984331142583e-28,0.001647042,0.001491944084596456,1.5640224919195518
trick MF3 thread,11,1.0947644252537633e-47,1.6565775065373165e-41,0.0508195,6.0121776557645644e-5,1.1664520173651214
trick MF4 thread,16,2.4308653429145085e-63,1.7649102449770836e-58,3.118084125,0.06290975111145529,1.294456332164404
trick MF5 thread,20,5.397605346934028e-79,1.548071472232395e-66,89.510568875,6.265851304205415e-5,0.3206651899063153
trick MF6 thread,25,1.1985091468012028e-94,3.353238045319484e-86,4658.707914178386,0.006095593586486138,29.356254193439597
