method,m_max,eps,pfplus,dt,error,error+1
trick thread,4,2.220446049250313e-16,7.655463668959215e-14,0.000463084,0.008904119614821748,1.4736262796985709
trick MF2 thread,9,4.930380657631324e-32,8.15515645640128e-27,0.0022995,0.0006548520394508219,19.022692935484987
trick MF3 thread,14,1.0947644252537633e-47,1.2695804837167644e-41,0.33275225,0.0018749335996474182,2.64940932972351
trick MF4 thread,17,2.4308653429145085e-63,1.3995516558969283e-53,4.725810208,1.33122053287146e-6,0.6586704310694926
trick MF5 thread,22,5.397605346934028e-79,5.0983251156679284e-71,253.81463256882384,0.005078624482747161,36.25950590434702
trick MF6 thread,26,1.1985091468012028e-94,1.358329638879807e-84,6952.73681408871,0.0004269916739605339,3.0075918920951463
