trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
0.001019417,0.000675083,0.008346542,0.01207825,0.000867792,0.001024083,0.000613542
0.001076209,0.000571708,0.001108917,0.000732542,0.000822666,0.001117792,0.000458542
0.0016975,0.000710417,0.000736125,0.001672292,0.001348459,0.001927125,0.000657167
0.00265575,0.000530125,0.000987458,0.001110875,0.001808292,0.002285458,0.00052575
0.005165542,0.000747792,0.001212833,0.001728792,0.002643833,0.004087292,0.000533375
0.008855792,0.001140291,0.001745709,0.002892166,0.005136,0.007636625,0.000791416
0.0382805,0.00127675,0.003335125,0.006010667,0.010050042,0.014892666,0.000989333
0.058516792,0.002050625,0.0068375,0.011888,0.021046167,0.030515333,0.00126675
0.117204958,0.003690708,0.020730875,0.029045292,0.049345208,0.064941291,0.008961709
0.23853775,0.014455625,0.035156875,0.057417834,0.099503042,0.145290625,0.003975584
0.439621792,0.01821875,0.076176167,0.118217625,0.200173458,0.296029416,0.007302542
1.137790333,0.056899334,0.162818458,0.266773666,0.421091083,0.630406667,0.049135125
1.829708542,0.107953834,0.335733959,0.529785583,0.879604375,1.271338166,0.059418208
3.704889416,0.207744959,0.695856292,1.1356405,1.850676083,2.8493055,0.116935416
7.587765083,0.466455041,1.492533083,2.375561084,3.808427209,5.807833958,0.249313333
16.046570583,1.011369167,3.314342,5.251990167,8.154141333,11.579976834,0.520055375
35.684305792,2.332364791,6.77818375,10.560363916,16.479205042,23.270782208,1.086827
77.765511792,4.431118333,14.1261355,21.812091958,33.6010855,47.6193345,2.51353575
149.767103417,8.059396542,27.690214333,43.432032042,69.173047416,97.138299084,4.773379375
321.301109042,187.336261958,309.291715709,407.932158583,359.123131916,198.687983583,89.678135375
