method,m_max,eps,pfplus,dt,error,error+1
trick thread,4,2.220446049250313e-16,4.973558413926126e-14,0.000828333,0.012079711229955799,1.1955644989336078
trick MF2 thread,8,4.930380657631324e-32,3.877941735197471e-29,0.001504375,0.016240193311448922,1.6728248227196172
trick MF3 thread,12,1.0947644252537633e-47,1.5558458445776587e-41,0.049329708,0.00010881578699127402,1.1523739369846777
trick MF4 thread,16,2.4308653429145085e-63,3.546072034938425e-57,1.90721725,0.0005063471481765496,11.546019932884072
trick MF5 thread,20,5.397605346934028e-79,7.865649869251946e-71,47.663094875,0.00011717195299320527,1.079510095595886
trick MF6 thread,24,1.1985091468012028e-94,6.46744567597984e-85,1347.6772742284154,3.243359600785765e-5,0.28954624462834333
