method,m_max,eps,pfplus,dt,error,error+1
trick thread,5,2.220446049250313e-16,1.4560491322520321e-12,0.000542125,0.001528384146341569,0.2010084194756554
trick MF2 thread,10,4.930380657631324e-32,2.4457499653401407e-28,0.013012333,0.01952438062852304,1.8026707759180436
trick MF3 thread,13,1.0947644252537633e-47,8.034323357038492e-41,0.372136375,0.00019333783951537274,1.3334345141186001
trick MF4 thread,18,2.4308653429145085e-63,2.75000423502367e-56,23.793644083,0.0027256729941789303,3.6673939587632183
trick MF5 thread,23,5.397605346934028e-79,7.134145231598558e-71,1338.9464703132153,0.00583666093809716,21.38860720048202
trick MF6 thread,27,1.1985091468012028e-94,2.1821937822862434e-83,33351.84222499408,3.8355577596738146e-5,0.14107996320109828
