method,m_max,eps,pfplus,dt,error,error+1
trick thread,5,2.220446049250313e-16,6.848388292237451e-12,0.000823375,0.0008438834900707796,0.14040803842898508
trick MF2 thread,10,4.930380657631324e-32,1.3715349490781235e-26,0.005899792,0.0008030633171618714,16.91930397247775
trick MF3 thread,14,1.0947644252537633e-47,1.5252713133199153e-42,0.505272583,0.011348700656767631,5.567277881741282
trick MF4 thread,18,2.4308653429145085e-63,1.1786089533560132e-56,14.296383333,0.0068522866003040105,4.1663609952812175
trick MF5 thread,22,5.397605346934028e-79,1.136046875049241e-71,419.08265219393263,0.01683603967336387,219.53963206896734
trick MF6 thread,26,1.1985091468012028e-94,2.210680374546271e-86,11030.373316040885,0.020657987456060702,268.838101168474
