Pjoint diff,Matlab Sam,Matlab Alisa,Matlab Alisa hp,C++,Fortran,exp-sum-log,prod,prod Fl32,exp-sum-log Fl32,time
Matlab Sam,0.0,3.039190001890451e-15,3.039407310946574e-15,3.2690515299113662e-15,3.2690515299113662e-15,3.089195566019498e-15,3.948508187079369e-15,3.379583328372293e-7,2.1457675158376154e-8,1.572773458
Matlab Alisa,3.039190001890451e-15,0.0,3.633651994616687e-15,3.0445645999113698e-15,3.0445645999113698e-15,3.0387914407015198e-15,3.046340957268971e-15,3.379583358764193e-7,2.1457672119186152e-8,2.84
Matlab Alisa hp,3.039407310946574e-15,3.633651994616687e-15,0.0,5.942691080805055e-16,5.942691080805055e-16,5.94860553915167e-16,9.091008761327953e-16,3.3795833587663663e-7,2.1457672118968842e-8,156.95
C++,3.2690515299113662e-15,3.0445645999113698e-15,5.942691080805055e-16,0.0,0.0,1.7985596389186795e-16,6.794566571680032e-16,3.3795833610628087e-7,2.1457671889324624e-8,8.672
Fortran,3.2690515299113662e-15,3.0445645999113698e-15,5.942691080805055e-16,0.0,0.0,1.7985596389186795e-16,6.794566571680032e-16,3.3795833610628087e-7,2.1457671889324624e-8,8.672
exp-sum-log,3.089195566019498e-15,3.0387914407015198e-15,5.94860553915167e-16,1.7985596389186795e-16,1.7985596389186795e-16,0.0,8.593126210598711e-16,3.3795833592642485e-7,2.145767206918059e-8,0.775901917
prod,3.948508187079369e-15,3.046340957268971e-15,9.091008761327953e-16,6.794566571680032e-16,6.794566571680032e-16,8.593126210598711e-16,0.0,3.379583367857375e-7,2.1457671209867967e-8,0.182398125
prod Fl32,3.379583328372293e-7,3.379583358764193e-7,3.3795833587663663e-7,3.3795833610628087e-7,3.3795833610628087e-7,3.3795833592642485e-7,3.379583367857375e-7,0.0,3.594160079956055e-7,0.086404333
exp-sum-log Fl32,2.1457675158376154e-8,2.1457672119186152e-8,2.1457672118968842e-8,2.1457671889324624e-8,2.1457671889324624e-8,2.145767206918059e-8,2.1457671209867967e-8,3.594160079956055e-7,0.0,0.604682959
