Posterior diff,Matlab Sam,Matlab Alisa,Matlab Alisa hp,C++,Fortran,exp-sum-log,prod,prod Fl32,exp-sum-log Fl32,time
Matlab Sam,0.0,4.440892098500626e-16,1.0690327280060403,1.4233972822001624,1.4233972822001624,0.9857934677998377,0.5645238095238095,0.23900656756900607,0.36252380517267047,1.572773458
Matlab Alisa,4.440892098500626e-16,0.0,1.0690327280060403,1.4233972822001624,1.4233972822001624,0.9857934677998376,0.56452380952381,0.2390065675690065,0.3625238051726709,2.84
Matlab Alisa hp,1.0690327280060403,1.0690327280060403,0.0,0.35436455419412205,0.35436455419412205,2.054826195805878,1.0690364949130209,0.983996240526239,0.9839754926819928,156.95
C++,1.4233972822001624,1.4233972822001624,0.35436455419412205,0.0,0.0,2.40919075,1.423401049107143,1.338360794720361,1.3383400468761149,8.672
Fortran,1.4233972822001624,1.4233972822001624,0.35436455419412205,0.0,0.0,2.40919075,1.423401049107143,1.338360794720361,1.3383400468761149,8.672
exp-sum-log,0.9857934677998377,0.9857934677998376,2.054826195805878,2.40919075,2.40919075,0.0,0.9857897008928571,1.070829955279639,1.0708507031238852,0.775901917
prod,0.5645238095238095,0.56452380952381,1.0690364949130209,1.423401049107143,1.423401049107143,0.9857897008928571,0.0,0.32551724195480347,0.20200000435113907,0.182398125
prod Fl32,0.23900656756900607,0.2390065675690065,0.983996240526239,1.338360794720361,1.338360794720361,1.070829955279639,0.32551724195480347,0.0,0.1235172376036644,0.086404333
exp-sum-log Fl32,0.36252380517267047,0.3625238051726709,0.9839754926819928,1.3383400468761149,1.3383400468761149,1.0708507031238852,0.20200000435113907,0.1235172376036644,0.0,0.604682959
