Posterior diff,Matlab Sam,Matlab Alisa,Matlab Alisa hp,C++,exp-sum-log,prod,prod Fl32,exp-sum-log Fl32,time
Matlab Sam,0.0,4.973799150320701e-14,35.10796416690812,35.05829581581116,35.114029232196295,54.13312952674866,36.0894196920126,36.08910253457725,1.0216075
Matlab Alisa,4.973799150320701e-14,0.0,35.10796416690816,35.0582958158112,35.11402923219634,54.133129526748704,36.08941969201264,36.08910253457729,0.0
Matlab Alisa hp,35.10796416690812,35.10796416690816,0.0,0.049668351096958,0.015502745900813852,19.025165359840543,0.9814555251044825,0.9811383676691352,0.0
C++,35.05829581581116,35.0582958158112,0.049668351096958,0.0,0.05573341638513496,19.0748337109375,1.0311238762014405,1.0308067187660932,3.645
exp-sum-log,35.114029232196295,35.11402923219634,0.015502745900813852,0.05573341638513496,0.0,19.019100294552366,0.9753904598163056,0.9750733023809582,0.370903958
prod,54.13312952674866,54.133129526748704,19.025165359840543,19.0748337109375,19.019100294552366,0.0,18.04370983473606,18.044026992171407,0.0754325
prod Fl32,36.0894196920126,36.08941969201264,0.9814555251044825,1.0311238762014405,0.9753904598163056,18.04370983473606,0.0,0.17948718555271626,0.048314542
exp-sum-log Fl32,36.08910253457725,36.08910253457729,0.9811383676691352,1.0308067187660932,0.9750733023809582,18.044026992171407,0.17948718555271626,0.0,0.281825375
