Pjoint diff,Matlab Sam,Matlab Alisa,Matlab Alisa hp,C++,exp-sum-log,prod,prod Fl32,exp-sum-log Fl32,time
Matlab Sam,0.0,3.909633033982725e-15,1.5752079120552392e-15,1.799948916186941e-15,1.6250889522950728e-15,2.0337898032352088e-15,3.1113624415241013e-7,4.0233136798517584e-8,3.391969708
Matlab Alisa,3.909633033982725e-15,0.0,4.14507875039522e-15,3.92047505570758e-15,3.92358368017653e-15,3.905820111782528e-15,3.1113624572753894e-7,4.023313522338876e-8,5.54
Matlab Alisa hp,1.5752079120552392e-15,4.14507875039522e-15,0.0,2.247410041317017e-16,2.2456677222433823e-16,2.3426653233643824e-15,3.1113624572761803e-7,4.023313522330967e-8,328.18
C++,1.799948916186941e-15,3.92047505570758e-15,2.247410041317017e-16,0.0,1.7485996389186798e-16,2.5146555819590806e-15,3.1113624595235906e-7,4.023313499856867e-8,21.484
exp-sum-log,1.6250889522950728e-15,3.92358368017653e-15,2.2456677222433823e-16,1.7485996389186798e-16,0.0,2.4258373088059672e-15,3.1113624577749906e-7,4.023313517342863e-8,1.764788625
prod,2.0337898032352088e-15,3.905820111782528e-15,2.3426653233643824e-15,2.5146555819590806e-15,2.4258373088059672e-15,0.0,3.1113624557266294e-7,4.023313537826478e-8,0.430738458
prod Fl32,3.1113624415241013e-7,3.1113624572753894e-7,3.1113624572761803e-7,3.1113624595235906e-7,3.1113624577749906e-7,3.1113624557266294e-7,0.0,3.513693809509277e-7,0.209238125
exp-sum-log Fl32,4.0233136798517584e-8,4.023313522338876e-8,4.023313522330967e-8,4.023313499856867e-8,4.023313517342863e-8,4.023313537826478e-8,3.513693809509277e-7,0.0,1.423329166
