trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.000867084,0.000470291,0.000546375,0.000863666,0.000417708,0.000525209
0.000692541,0.000396,0.000454209,0.000438542,0.000494167,0.000409292
0.000663417,0.000486958,0.000597875,0.000512333,0.000601708,0.000637584
0.000740917,0.000516625,0.000512792,0.0006505,0.00079325,0.000374292
0.001351875,0.000533917,0.000525958,0.000738542,0.000989458,0.000423334
0.001888708,0.000485041,0.000729709,0.001020833,0.001572625,0.000555375
0.011204417,0.00061925,0.000988167,0.00133,0.002475,0.000634375
0.007742625,0.00097575,0.002396625,0.00261175,0.004185542,0.000812708
0.025465042,0.001281667,0.003155917,0.004997458,0.008533375,0.0010605
0.031003833,0.002106583,0.006234708,0.010100583,0.0170565,0.013005042
0.091180417,0.013595375,0.012605833,0.029749708,0.034986417,0.002438166
0.185081542,0.007267542,0.037190084,0.053450458,0.091665584,0.014278625
0.38674775,0.024632917,0.076136333,0.110389625,0.177671334,0.018598083
0.795321834,0.057138458,0.155187542,0.238972833,0.361704542,0.026840917
1.622055334,0.116187375,0.319174083,0.515374042,0.75602625,0.067050833
3.367912667,0.246412167,0.672775291,1.031227917,1.550235292,0.131325833
6.949267834,0.466682375,1.392060333,2.106220958,3.122294625,0.276035125
12.730278959,0.958807792,2.913492958,4.418973583,6.3748445,0.566927375
