trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.0010115,0.000555208,0.000487333,0.000518,0.000732917,0.000385084
0.001062083,0.000533167,0.000615042,0.000562666,0.000575416,0.000514417
0.000749083,0.000600875,0.000864125,0.000524375,0.000679041,0.0004955
0.001036833,0.00044025,0.000570667,0.000618,0.000872375,0.00048625
0.001567334,0.000396208,0.000770625,0.000928458,0.001219333,0.000353958
0.002854625,0.000574791,0.00256475,0.001514375,0.001868917,0.000556916
0.005750958,0.00078375,0.001390167,0.002329417,0.00336875,0.000592917
0.011642583,0.001329083,0.002525042,0.0037725,0.0065565,0.000805709
0.035018709,0.001918542,0.004838,0.018518666,0.013182792,0.0011375
0.07355225,0.002744375,0.009726666,0.02573725,0.027137833,0.011972417
0.145634416,0.005555458,0.030042625,0.033682417,0.063609459,0.014236042
0.299196292,0.019902625,0.050405083,0.086086125,0.135535833,0.018734125
0.632053959,0.042141791,0.116048666,0.170253667,0.27741075,0.022503
1.294518542,0.083408208,0.239932209,0.355514333,0.565152459,0.046981917
2.667678584,0.19237925,0.506688208,0.739781958,1.156802708,0.089080416
5.481591542,0.387805667,1.017499875,1.51831075,2.390385459,0.18069675
11.273356042,0.808682041,2.080173,3.123690792,4.884246875,0.379551875
23.376026,1.65440375,4.256211125,6.429073542,10.041673583,0.782730209
