method,m_max,eps,pfplus,dt,error,error+1
trick thread,3,2.220446049250313e-16,2.5325151530541386e-11,0.000448833,2.0565134878477162e-5,1.179674659400545
trick MF2 thread,8,4.930380657631324e-32,4.838502984699307e-27,0.001167375,0.0002812932128991079,1.3911660709726543
trick MF3 thread,12,1.0947644252537633e-47,5.750094607552551e-44,0.047203542,0.0137289263166603,2.2223939717895447
trick MF4 thread,16,2.4308653429145085e-63,1.188117130832263e-58,1.443386625,0.046072872390981096,5.864643644695394
trick MF5 thread,19,5.397605346934028e-79,1.5263069778536293e-69,18.890750709,3.615766014193989e-5,0.9534415723978389
trick MF6 thread,23,1.1985091468012028e-94,2.479078330297434e-86,454.35778212124154,0.0007589945998550975,19.987749521840577
