method,m_max,eps,pfplus,dt,error,error+1
trick thread,3,2.220446049250313e-16,4.559071091579877e-13,0.000775,0.0010166646685049459,1.564086923076923
trick MF2 thread,7,4.930380657631324e-32,2.8127917775121735e-28,0.001685542,0.002870050065947266,3.2733739316239316
trick MF3 thread,11,1.0947644252537633e-47,3.487730495327661e-42,0.063947542,0.0005903986152391631,3.0909008165445666
trick MF4 thread,15,2.4308653429145085e-63,2.0593481764079097e-56,1.042568541,0.00012091134984916545,0.6547366520082087
trick MF5 thread,20,5.397605346934028e-79,1.501316990688027e-71,65.774170334,0.00041181294786774963,1.0796493409879526
trick MF6 thread,25,1.1985091468012028e-94,9.929668413098519e-86,3600.226093261443,0.0011147918450408348,2.7656835698215025
