trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
0.001030167,0.000510791,0.000687333,0.000545917,0.000876792,0.001328042,0.000450375
0.001005666,0.0004915,0.000505459,0.000674625,0.000901584,0.000885791,0.000518333
0.001184959,0.0014655,0.000675583,0.00072575,0.000970791,0.001435833,0.000974375
0.001859625,0.000462458,0.00160725,0.000880833,0.001734625,0.001767,0.000442667
0.003115917,0.001436583,0.001120542,0.001803917,0.001824667,0.003168916,0.000606375
0.014184458,0.000738958,0.001267625,0.001941917,0.003550542,0.004959625,0.000658
0.024016333,0.001085042,0.002530042,0.004527958,0.00738175,0.009997708,0.001190708
0.040319083,0.001647042,0.010593583,0.008573458,0.013261958,0.020312583,0.00103525
0.081177083,0.002631833,0.015236625,0.015988625,0.038476834,0.052247209,0.001663292
0.155612666,0.00539025,0.026357791,0.039642875,0.0638265,0.112565542,0.010022125
0.318556042,0.010605416,0.0508195,0.082989667,0.13781125,0.189901709,0.016624625
0.63199675,0.0477845,0.106623458,0.1750835,0.277487625,0.400594292,0.022377583
1.313656875,0.075316291,0.223565667,0.3580595,0.5741375,0.819254083,0.050648541
2.55008525,0.147716541,0.457949958,0.729027167,1.183070208,1.688461708,0.095147958
5.098199625,0.30705425,0.955247209,1.511388792,2.4292165,3.457316208,0.181866041
11.67895175,0.607216292,1.989802625,3.118084125,4.966864208,7.105415666,0.374323917
24.180778167,1.343728041,4.258598459,6.725609125,10.637789375,15.573396583,0.757611167
49.698093041,2.683537458,8.709141916,13.565334541,21.753437292,31.023572917,1.562103
100.51042975,5.461502166,17.918535375,28.181251792,44.021691792,62.358640458,3.191945417
208.026902042,10.767657291,36.241684,57.038695625,89.510568875,126.85899375,6.417594833
