method,m_max,eps,pfplus,dt,error,error+1
trick thread,4,2.220446049250313e-16,4.973558413926126e-14,0.000591,0.007541237188565953,1.1466733742002058
trick MF2 thread,8,4.930380657631324e-32,3.877941735197471e-29,0.001057959,0.016240193311448922,1.8200052526895334
trick MF3 thread,12,1.0947644252537633e-47,1.5558458445776587e-41,0.364414875,0.00010881578699127402,1.1523739369846777
trick MF4 thread,16,2.4308653429145085e-63,3.546072034938425e-57,7.448830167,0.0005065346093513753,10.734720720301214
trick MF5 thread,20,5.397605346934028e-79,7.865649869251946e-71,184.99823675,0.00011584516619731711,1.063236004390505
trick MF6 thread,24,1.1985091468012028e-94,6.46744567597984e-85,8406.554166345488,3.2412460534489844e-5,0.2894573213793675
