trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.000944583,0.000666667,0.001224166,0.00066325,0.000730875,0.000512042
0.000611583,0.000439417,0.000617583,0.000529625,0.001463209,0.000501375
0.001360917,0.000507416,0.00067875,0.000636916,0.0007585,0.000384833
0.00125325,0.0004405,0.000669,0.000671958,0.001249792,0.000412375
0.001838,0.000446208,0.000603125,0.002582708,0.001313167,0.000825833
0.003243,0.000633833,0.001003791,0.001333083,0.002493625,0.000519166
0.005560708,0.000793917,0.001933709,0.002647208,0.003991083,0.0093885
0.011682542,0.001298625,0.003517834,0.004713042,0.018641,0.000863375
0.026370666,0.013171375,0.005672625,0.009518166,0.016652917,0.001301209
0.086041375,0.003413,0.019041292,0.018600209,0.041774917,0.002084125
0.165918,0.006017042,0.032905417,0.046269333,0.086820959,0.003389958
0.3467115,0.026310042,0.067466125,0.108024208,0.153849625,0.016992209
0.71479175,0.04894875,0.135277958,0.202423125,0.320507583,0.026817584
1.462915583,0.118029042,0.274303792,0.415495042,0.666078709,0.04970475
3.024842375,0.254057,0.568251417,0.931484666,1.360255375,0.105226792
5.397984209,0.455175084,1.163078084,1.761168708,2.806035125,0.228727333
12.18500075,0.934265834,2.370529666,3.621221917,5.758448709,0.439042334
23.304653917,1.88576225,4.872639292,7.434394333,11.757304083,0.884253084
