trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.000809583,0.000414916,0.000526291,0.000543667,0.000564958,0.000428208
0.00098275,0.000441708,0.00053675,0.000581583,0.000603333,0.000494708
0.000694833,0.000391375,0.000575208,0.000525791,0.003661208,0.000427875
0.00092325,0.000335125,0.000432292,0.000797416,0.000763584,0.000340375
0.00128475,0.000491667,0.000577167,0.000796583,0.001082625,0.000384542
0.00223675,0.000629792,0.000837,0.00110675,0.001682416,0.000442875
0.004206167,0.000882291,0.001581083,0.001703708,0.002587417,0.000844292
0.017396208,0.000881333,0.002072166,0.004023958,0.005075958,0.000900875
0.026862334,0.012540667,0.003913459,0.006292042,0.010549209,0.001219208
0.044835542,0.002362417,0.007841166,0.022620666,0.021118,0.001823458
0.093670458,0.004355041,0.015220875,0.026203,0.052271167,0.003060584
0.199700208,0.021535167,0.042044667,0.062008584,0.106038834,0.017122875
0.420893958,0.0263445,0.107737542,0.141700916,0.218664917,0.020390542
0.833156208,0.072098334,0.190470917,0.291104,0.444087292,0.041332541
1.692131375,0.141247667,0.407283208,0.622545458,0.913719541,0.082086291
4.001684292,0.289001417,0.837443042,1.227527125,1.870675791,0.161593708
8.240325083,0.58649575,1.760295208,2.516443458,3.825700708,0.334056
17.043258042,1.188448125,3.562043041,5.153078583,7.897838834,0.664707166
