trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.000887625,0.000834333,0.00048675,0.000797792,0.000798625,0.000448916
0.000740709,0.000554167,0.000561875,0.000963375,0.000809916,0.000449
0.000984958,0.000521458,0.000502209,0.000871209,0.000843041,0.00048825
0.001504833,0.000773666,0.000621625,0.000843667,0.001184208,0.000818375
0.00231225,0.000536625,0.0009995,0.001296042,0.002520375,0.000476083
0.004900834,0.007691,0.001179334,0.002025792,0.002774625,0.00054325
0.018977666,0.001293416,0.001947916,0.003264417,0.005394458,0.000794125
0.029250125,0.001539667,0.003686709,0.006199833,0.011211333,0.001203834
0.05255775,0.002004167,0.013344,0.013044416,0.033278083,0.001452083
0.130782833,0.004323375,0.015248292,0.026633791,0.051156166,0.002297625
0.248631042,0.016241083,0.039583291,0.06654025,0.107145958,0.004770875
0.513807334,0.034096,0.082187417,0.13377875,0.215856875,0.019776416
1.034564416,0.069902625,0.174191541,0.27605275,0.443528833,0.037706416
1.951823458,0.128522958,0.370264,0.573749459,0.922305958,0.077418875
3.99085725,0.262477375,0.755729041,1.194813625,1.901156,0.149947375
8.273765584,0.5214405,1.564809583,2.442251708,3.914509583,0.317903291
17.593747125,1.065479042,3.232355792,5.073928959,8.032740709,0.657687834
35.951992125,2.1752275,6.763232,10.633336541,16.943011625,1.3855755
