method,m_max,eps,pfplus,dt,error,error+1
trick thread,4,2.220446049250313e-16,9.84796322031329e-11,0.00052575,5.8887987884792145e-6,1.0
trick MF2 thread,9,4.930380657631324e-32,3.229283344144351e-26,0.003690708,9.236936394229863e-5,0.30011056618159676
trick MF3 thread,13,1.0947644252537633e-47,2.5873096196074437e-42,0.335733959,0.004637666382122611,0.14445975264474195
trick MF4 thread,19,2.4308653429145085e-63,1.081038678862494e-56,43.432032042,0.013704543364916506,3.226745060762
trick MF5 thread,23,5.397605346934028e-79,4.4633624705469903e-70,1852.3241575518482,0.001141221692559129,3.3175991556192472
trick MF6 thread,28,1.1985091468012028e-94,4.178775446008588e-85,71931.10658798435,0.00542452321846017,15.394542115974955
