method,m_max,eps,pfplus,dt,error,error+1
trick thread,4,2.220446049250313e-16,2.1617701199483506e-9,0.000700708,5.396526099531606e-7,2.370786479775281
trick MF2 thread,9,4.930380657631324e-32,8.372421297907863e-27,0.034911208,0.0008247791802120696,7.8986763658227845
trick MF3 thread,14,1.0947644252537633e-47,2.928297384369078e-42,1.342199,0.012723960125189228,7.187167002732874
trick MF4 thread,18,2.4308653429145085e-63,1.2237795650478709e-54,23.518730375,8.487483790175348e-5,2.4657593429967952
trick MF5 thread,22,5.397605346934028e-79,4.278084395176545e-69,691.9158491831502,3.361199062145599e-5,0.1316832635554912
trick MF6 thread,27,1.1985091468012028e-94,6.287043548674621e-85,38115.03947261092,0.0013144382755232707,5.182403037559687
