pfplus BF,trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
0.0011999274000000003,0.0,2.3626147759993556e-30,3.223227918088587e-46,2.450293930742382e-63,2.449072108372912e-79,4.877041268748e-98,2.7533531010703882e-14
1.056262301978377e-6,0.0,1.3522181162776357e-26,1.1419578520354042e-42,1.1558119021735391e-59,1.696558406731776e-75,1.2635489153170079e-92,8.510812751951036e-11
5.809442660881073e-11,0.0,2.5443945204342653e-22,6.715755131802169e-39,7.377443909033427e-55,3.965722482572897e-71,4.878411371081863e-87,3.596126225404617e-6
3.221675849564382e-11,0.0,2.2243400496863547e-21,9.058034992706662e-38,2.7767149728321036e-53,2.1982011732616412e-69,2.669734463122923e-86,2.9915988927529927e-5
6.848388292237451e-12,0.0,1.6643479217363824e-20,1.14138624042907e-36,8.361853196440464e-53,3.9046564879566726e-69,1.5793050898151004e-85,0.0008438834900707796
3.863159106263127e-14,0.0,6.337212610996723e-18,1.9014431795934036e-34,3.0331930569489167e-50,9.842582832141644e-67,3.864965602881552e-83,0.14040803842898508
3.7172452470283356e-16,0.0,2.793459530962704e-15,8.507273379884673e-32,4.14622568705277e-48,3.5687243683668444e-64,8.681507803203277e-81,NaN
2.9716761335031324e-20,0.0,4.2235963438622165e-11,2.915479120259071e-27,7.905208462500134e-44,6.782114963906908e-60,2.9766531595071144e-76,2.2624619279854064
3.911806988584231e-22,0.0,2.1626085839091158e-8,1.0788757778681306e-24,2.845845750091193e-41,1.390101751496095e-57,5.431350416120048e-74,10.934663350336523
1.3715349490781235e-26,0.0,0.0008030633171618714,4.062941726922367e-20,1.1573677504391237e-36,4.385426880857053e-53,2.3350999179691014e-69,28.999087554011464
1.3578195995873425e-32,0.0,16.91930397247775,1.5455957949683253e-13,7.94672439213138e-30,2.3822024308602624e-46,1.6218911002074226e-62,6.820008968936439
1.2220376396286084e-36,0.0,2.9733296109049436,2.420658334637564e-9,1.1721312062834524e-25,4.007373739633447e-42,1.8728774479682772e-58,2.7106269619548455
7.703390471312703e-38,0.0,4.017072999127187,2.324453484805857e-7,8.32962033740759e-24,4.641415003049116e-40,1.1641826000738387e-56,1.2673469772322112
1.5252713133199153e-42,0.0,2.1058935780891685,0.011348700656767631,7.502623149950789e-19,2.9630166025233157e-35,1.1706691403219676e-51,10.335690307295833
3.020037200373433e-47,0.0,3.1159995934507245,5.567277881741282,2.3701849826292306e-13,5.814460238819831e-30,1.849579415388195e-46,47.517456214588904
6.953465447489838e-49,0.0,2.9180019296098805,1.9671339025198131,1.9165931204629937e-11,5.98326081213273e-28,2.3647732855317906e-44,2.6243050835308153
5.2150990856173785e-54,0.0,2.829991991192079,6.598318619421864,5.582436567278247e-6,2.194867653352752e-22,1.0741494509946234e-38,2.3804917516086124
1.1786089533560132e-56,0.0,1.9918401983119793,2.5992888503495246,0.0068522866003040105,2.896151982521486e-19,1.5524870635020096e-35,1.7983774206245144
5.426613918159274e-60,0.0,11.504388885977717,2.0427826958404185,4.1663609952812175,1.4992035653150893e-15,9.417764059696408e-32,25.261093324638356
7.32592878951502e-64,0.0,3.037103315770479,5.816862025624972,7.86093626936175,4.983607854034428e-11,1.6537693053579703e-27,3.7613339822140825
