method,m_max,eps,pfplus,dt,error,error+1
trick thread,5,2.220446049250313e-16,6.396305154795774e-12,0.000524875,0.0004317136280334798,NaN
trick MF2 thread,9,4.930380657631324e-32,7.74783404908536e-27,0.004036166,0.0007516044969485971,1.5001635126965103
trick MF3 thread,16,1.0947644252537633e-47,1.6083388252177263e-40,3.67770925,0.0018930648391732407,4.269986842786738
trick MF4 thread,22,2.4308653429145085e-63,1.1397448989388618e-54,499.22863189120415,0.0038687927999433635,1.4101769906438406
trick MF5 thread,28,5.397605346934028e-79,2.1072948455868336e-67,61625.009565855005,0.00028832889884956555,0.10198559953423775
trick MF6 thread,35,1.1985091468012028e-94,2.940780165593381e-82,1.278142333958033e7,0.006031714837657069,2.107525748351387
