trick BF extreme thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick MF6 thread,trick thread
0.805348084,0.704478959,0.741124542,0.903265167,1.218192833,1.814427708,0.702623833
0.000841959,0.000435708,0.00061225,0.000615042,0.000810583,0.000719292,0.000433875
0.001106917,0.00053825,0.000566875,0.000737209,0.00089475,0.001615416,0.000775
0.0012485,0.000673417,0.00119275,0.000992542,0.001077167,0.001326917,0.000466875
0.002062667,0.000764291,0.000806416,0.001408875,0.001406166,0.002120834,0.000501709
0.0142635,0.000702292,0.001083541,0.001568083,0.002434042,0.003600084,0.000529292
0.007589542,0.001685542,0.001783792,0.002808792,0.006025708,0.008220042,0.00089075
0.020255834,0.001592125,0.003417,0.005883625,0.009347208,0.014490958,0.0011345
0.035560541,0.002490166,0.006929041,0.011704167,0.037040875,0.030303208,0.001587666
0.103636,0.009696292,0.019323,0.023981125,0.05112175,0.058836,0.003161
0.194410375,0.007768583,0.063947542,0.047632917,0.081587709,0.135248625,0.004574958
0.397280041,0.045828291,0.075665542,0.110493208,0.19237075,0.27830175,0.008099208
0.776892792,0.08720375,0.190022834,0.252325292,0.391129333,0.557339375,0.032823209
1.608654958,0.117675541,0.350855292,0.506341,0.793083834,1.149305334,0.105570292
3.631053542,0.35388075,0.755992084,1.042568541,1.662424584,2.370127833,0.171132959
7.605524334,0.675338417,1.511630791,2.305097917,3.437429583,5.05343225,0.282899
15.593665125,1.338445708,2.984683667,4.633546541,7.076349375,10.274153792,0.737740291
34.967179667,3.803079208,7.352659583,11.986249375,18.604348416,22.309639958,1.577656125
70.462192583,6.867163792,13.741440042,21.608834375,31.643970167,44.452353083,3.029849875
148.581974375,13.489229542,28.500217584,44.180565208,65.774170334,92.402809166,6.268362166
