method,m_max,eps,pfplus,dt,error,error+1
trick thread,4,2.220446049250313e-16,4.514177578421158e-11,0.00045125,2.0077315255669586e-5,0.2047960227272728
trick MF2 thread,10,4.930380657631324e-32,3.588472368346231e-26,0.02591675,0.00022422321368774432,1.2193950795582058
trick MF3 thread,14,1.0947644252537633e-47,5.747490415708262e-42,0.375913709,0.005519901957223641,1.920061352449566
trick MF4 thread,19,2.4308653429145085e-63,3.662072567755303e-54,22.222448625,0.00011222321779436796,0.30355318318826796
trick MF5 thread,24,5.397605346934028e-79,3.0199976770666217e-69,1255.3468103296282,0.0005733363949373656,1.520652836326443
trick MF6 thread,29,1.1985091468012028e-94,4.1009794401919504e-84,70377.08858499676,0.0022253185525947594,5.7575667669175985
