trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.001215625,0.00055875,0.0005635,0.000596584,0.000831166,0.000488792
0.000650333,0.000471208,0.000495375,0.000527709,0.000623625,0.000514167
0.000976959,0.000461792,0.000444333,0.000653667,0.000855333,0.00062625
0.001345375,0.000598333,0.000524334,0.001798209,0.001028584,0.000441459
0.002305042,0.00069525,0.00069175,0.001184667,0.001701583,0.000481042
0.004161375,0.000679541,0.001139041,0.008889084,0.002415958,0.000480125
0.016844584,0.000920708,0.0015915,0.002632667,0.005173917,0.000725708
0.029206375,0.00955825,0.003477333,0.005566875,0.009480458,0.001071125
0.049669083,0.001928167,0.014225666,0.011779666,0.019457541,0.001525833
0.104715666,0.003976708,0.013686666,0.023398166,0.047315834,0.011069166
0.219944125,0.015920666,0.035264125,0.054579333,0.096826042,0.00380275
0.398844709,0.022853375,0.075633584,0.119008792,0.199908667,0.017889333
0.82183225,0.072104625,0.160263667,0.246087125,0.397942708,0.021523416
1.706050916,0.129814792,0.332750209,0.519390083,0.822748958,0.05750925
3.575861958,0.276691,0.696998,1.062741875,1.694654833,0.112829125
7.43364475,0.500683375,1.394193417,2.193683375,3.478179625,0.237314958
15.12650375,1.013608166,2.988147208,4.49569925,7.159496625,0.46257525
35.069023833,2.065147458,6.146707708,9.57021925,15.515701458,0.90873325
