trick,trick BF,trick BF thread,trick MF2,trick MF2 thread,trick MF3,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
3.621569804486654e-14,0.0,0.0,1.9584799148098116e-30,1.9584799148098116e-30,1.1450014266364725e-46,1.1450014266364725e-46,2.774376578929835e-63,9.215380719025732e-79,3.621569804486654e-14
9.660342218607011e-14,0.0,0.0,8.221772157693531e-30,8.221772157693531e-30,2.9322694363771272e-46,2.9322694363771272e-46,1.7696291748966405e-62,5.8747882427343e-78,9.660342218607011e-14
3.1122391848696464e-12,0.0,3.082767012715962e-87,2.216622863091286e-28,2.2987054316432383e-28,7.809057353056176e-45,7.029764728938311e-45,4.912900749449315e-61,1.0291465650077218e-76,3.2660635310788747e-12
7.207051964669262e-10,0.0,6.449229177254356e-85,8.134426681693091e-26,8.022215981525829e-26,3.974572330800165e-42,3.9139061679433296e-42,8.767890948412322e-59,9.48913339951991e-75,9.771388325609137e-10
2.8849883589856704e-8,0.0,8.448429866373312e-83,3.405712270390607e-24,3.58062728621227e-24,1.7223316156702953e-40,1.5767166139399064e-40,3.219212338491085e-57,3.263433147462563e-73,3.0504727951071195e-8
6.935896103234959e-7,0.0,5.999147259861782e-81,1.5813958253445984e-22,1.556171011369471e-22,2.9674747023857966e-39,3.1748433256138145e-39,2.0573296361438472e-55,3.189537616556803e-71,7.665332337401313e-7
0.0015519696829609012,0.0,1.1573402624293553e-77,1.1789289966973377e-19,1.9189777493815036e-19,4.8063034392233836e-36,5.113738022669615e-36,8.454215788699859e-52,1.7634870172962595e-68,0.0026343124384641016
11.707022525252524,0.0,1.9631175606027478e-72,1.4836805975088742e-14,1.9289581537469992e-14,9.792032085337156e-31,8.739872368470904e-31,5.267856057538824e-47,2.908366285400876e-63,2.7542105263157897
3.017800696286472,0.0,7.656705047975703e-71,5.141581308539797e-13,5.788656375481558e-13,1.609825119515557e-29,2.5005272918549465e-29,1.4661162686839398e-45,5.493339377534755e-62,4.4364790624999975
24.93927721212121,0.0,1.0991300308214156e-65,8.695821991643178e-8,1.3832727685233205e-7,4.3179035439128465e-24,3.9326043634819755e-24,1.839935099564486e-40,9.842694682496029e-57,4.689377494549723
2.8815224161709465,0.0,2.9615431274778426e-64,1.549268470434195e-6,2.7733232190889057e-6,4.320308338555511e-23,9.353354930924685e-23,3.4360813332199626e-39,1.4151351245922533e-55,30.62691453918775
2.58689978893181,0.0,9.984532378515117e-59,0.42556470944711616,0.7458385655603168,2.6205021256855332e-17,3.850584521595186e-17,1.1441438068214697e-33,5.379830246559605e-50,2.451318448710211
3.222421826176086,0.0,2.2944646223343473e-56,2.6990777206832757,8.224413742081778,3.750981896641382e-15,5.3028985388595025e-15,3.8047199500543922e-31,1.2652812792480671e-47,79.02162692307692
3.0142918820509976,0.0,7.583003954159238e-56,6.014798301498095,2.5325416678658366,2.2677558622611516e-14,3.201795555593224e-14,1.926598076405141e-30,4.3898342366383285e-47,12.514414202654509
4.136076285474601,0.0,8.915766765593857e-53,49.39112642436248,2.076879665609876,2.5957803389508902e-11,2.8621049884871005e-11,9.812684146291462e-28,4.813646126320937e-44,33.54934429756631
24.782896048955628,0.0,3.691188787638079e-49,13.135290436174632,6.122898898081714,1.3498284454224638e-7,1.6839886317443808e-7,6.802998743610534e-24,2.9695416209566086e-40,10.956782879510053
61.94683930546846,0.0,3.015623983494907e-48,9.37741831770116,14.781115754852513,8.651201400481943e-7,6.445683437165297e-7,4.3398078319759703e-23,2.3282415577496112e-39,3.7507849783702505
7.715054819035529,0.0,2.6351192203930237e-47,5.807662548437961,10.48129653388998,5.150669286139758e-6,1.0579017203668348e-5,3.8132343627534924e-22,1.7131358967531525e-38,2.6911655091287523
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


