prod,prod BF,prod MF2,trick,trick BF,trick MF2
0.136731041,0.728889625,0.013145708,0.001398042,0.001783917,0.0009675
0.004090458,1.131921291,0.024902041,0.000986917,0.00269225,0.001001834
0.008445959,2.22994275,0.048784625,0.001007542,0.005653417,0.001116458
0.025235833,4.123423208,0.15281075,0.002658917,0.012394291,0.001434708
0.026140917,8.659839083,0.265254,0.001353958,0.01848225,0.001966667
0.058495208,17.382690375,0.471686209,0.001640208,0.133214125,0.020807042
0.133364,35.353545208,0.895613583,0.002781666,0.084579209,0.006829958
0.258326375,72.049705125,1.695122541,0.006041167,0.171383667,0.010776083
0.480811542,134.257237667,3.40577175,0.011839709,0.615954584,0.021805625
