Fortran,prod,prod BF,prod BF Fl128,prod D64,prod Fl128,prod MF2,prod MF3,prod MF4,prod MF5
4.2672643819578684e-16,1.0765885114274753e-13,0.0,7.351952589766344e-32,7.268528363538788e-30,7.351952589766344e-32,8.779301082963236e-30,7.517550601692718e-46,4.4615254941264825e-62,6.282605092173771e-75
4.767994649144895e-16,2.3165066306735894e-11,0.0,1.925914357388616e-29,2.503503679575194e-27,1.925914357388616e-29,2.9634349387796466e-27,2.1419246498029208e-43,1.260843438413256e-59,2.2117314320223367e-72
6.134782377940716e-16,7.037003606940504e-9,0.0,6.575028294666672e-27,6.894163472994289e-25,6.575028294666672e-27,8.294836825311009e-25,5.565513548241131e-41,4.4978609285524265e-57,6.03759604362297e-70
7.933102539312416e-16,1.3163746894376417e-5,0.0,1.1431239410571681e-23,1.0260380134256697e-21,1.1431239410571681e-23,1.3542455858751522e-21,1.1279673038145886e-37,8.104674797663949e-54,1.0155596493205196e-66
7.875551170456568e-16,0.546406519482337,0.0,5.135701715864829e-19,5.141575825203262e-17,5.135701715864829e-19,5.4243815120687193e-17,3.816541024256824e-33,3.027184862228105e-49,4.893614671678852e-62
8.193316073450206e-16,1.8847431485738362,0.0,1.909027669580326e-18,1.542382111475301e-16,1.909027669580326e-18,1.976687876546338e-16,1.4443125410669128e-32,1.1170005967363059e-48,1.3267356031994627e-61
1.31719755626032e-15,7.942345051224721,0.0,8.058553371612638e-18,1.0400663257470428e-15,8.058553371612638e-18,1.1118660057514218e-15,8.403255908041664e-32,6.575586499921629e-48,5.423000446034224e-61
1.3528515889802273e-15,64.03302344237594,0.0,8.851344120907521e-17,7.378973769841954e-15,8.851344120907521e-17,6.839267082051034e-15,4.422694796918964e-31,3.885695148039847e-47,5.49111288927547e-60
1.4676367918956883e-15,147.56775385138823,0.0,2.575456053900089e-16,2.2028000075273463e-14,2.575456053900089e-16,1.3229227512565063e-14,1.3693771963207108e-30,8.931684064166753e-47,1.890928605952003e-59
