Fortran,prod,prod BF,prod BF Fl128,prod D64,prod Fl128,prod MF2,prod MF3,prod MF4,prod MF5
5.012461993142708e-16,7.129278449977548e-14,0.0,9.509868740421292e-32,1.0130719280707115e-29,9.509868740421292e-32,9.86970787194574e-30,7.646737032471402e-46,3.926460750040232e-62,2.700952525122796e-78
4.889642899402273e-16,2.8421943314385884e-11,0.0,2.2891802600504113e-29,2.3213035826712972e-27,2.2891802600504113e-29,2.5728470218327765e-27,1.8218243060713223e-43,1.4840622715438785e-59,8.865386911699259e-76
4.893375382613105e-16,6.699585157305372e-9,0.0,7.365785408396558e-27,1.0139920277290785e-24,7.365785408396558e-27,1.2577683500728917e-24,6.026651790007118e-41,5.414926969196878e-57,3.1608596398575273e-73
8.899314032666949e-16,1.5255420633084315e-5,0.0,1.2057001366968323e-23,1.4382003210395702e-21,1.2057001366968323e-23,2.1825893211549844e-21,1.1987016758206318e-37,7.917243873225953e-54,4.870973542909226e-70
8.899816500746734e-16,0.5297899675478623,0.0,4.744865419477594e-19,6.255616450250551e-17,4.744865419477594e-19,8.640158847976288e-17,3.772912471719248e-33,3.4429962582795175e-49,2.582740414260585e-65
8.90062490992635e-16,3.500678105638588,0.0,2.055786137733227e-18,2.3499012947878237e-16,2.055786137733227e-18,2.4864702547004854e-16,1.2508561017695293e-32,1.1091407945503522e-48,1.1897147805915983e-64
1.058061784923526e-15,5.071968573106061,0.0,7.793072130053067e-18,1.4916593733718352e-15,7.793072130053067e-18,1.6055349579267958e-15,8.817195805326915e-32,8.219540107915663e-48,4.940778873150458e-64
1.0563411135195942e-15,2.2269538050699302,0.0,9.681482380740656e-17,7.565172729008206e-15,9.681482380740656e-17,8.243653079425124e-15,6.514692292819959e-31,5.426281410713779e-47,5.007570356660112e-63
1.0549694470341167e-15,15.47196151194714,0.0,3.0684813003707374e-16,4.033500623707317e-14,3.0684813003707374e-16,2.5316938879983565e-14,1.6183841215033447e-30,1.5527646609509798e-46,9.146340312854998e-63
